flight_history_id,departure_airport_code,arrival_airport_code,published_departure,published_arrival,scheduled_gate_departure,scheduled_gate_arrival,scheduled_runway_departure,scheduled_runway_arrival
280797548,CRP,DFW,2012-11-19 16:50:00+00:00,2012-11-19 18:10:00+00:00,2012-11-19 16:50:00+00:00,2012-11-19 18:10:00+00:00,2012-11-19 17:00:00+00:00,2012-11-19 18:20:00+00:00
280823922,LEX,ORD,2012-11-19 17:10:00+00:00,2012-11-19 18:40:00+00:00,2012-11-19 17:10:00+00:00,2012-11-19 18:40:00+00:00,2012-11-19 17:23:00+00:00,2012-11-19 18:48:00+00:00
280847072,SDF,DFW,2012-11-19 16:20:00+00:00,2012-11-19 18:50:00+00:00,2012-11-19 16:20:00+00:00,2012-11-19 18:50:00+00:00,2012-11-19 16:32:00+00:00,2012-11-19 19:00:00+00:00
280838224,ORD,TUL,2012-11-19 16:00:00+00:00,2012-11-19 17:55:00+00:00,2012-11-19 16:00:00+00:00,2012-11-19 17:55:00+00:00,2012-11-19 16:16:00+00:00,2012-11-19 17:58:00+00:00
280790664,BUF,ORD,2012-11-19 17:00:00+00:00,2012-11-19 18:55:00+00:00,2012-11-19 17:00:00+00:00,2012-11-19 18:55:00+00:00,2012-11-19 17:12:00+00:00,2012-11-19 19:03:00+00:00
280796426,CMH,ORD,2012-11-19 17:00:00+00:00,2012-11-19 18:25:00+00:00,2012-11-19 17:00:00+00:00,2012-11-19 18:25:00+00:00,2012-11-19 17:13:00+00:00,2012-11-19 18:33:00+00:00
280801478,DFW,LBB,2012-11-19 17:00:00+00:00,2012-11-19 18:05:00+00:00,2012-11-19 17:00:00+00:00,2012-11-19 18:05:00+00:00,2012-11-19 17:15:00+00:00,2012-11-19 18:08:00+00:00
280831067,MIA,IND,2012-11-19 16:25:00+00:00,2012-11-19 19:20:00+00:00,2012-11-19 16:25:00+00:00,2012-11-19 19:20:00+00:00,2012-11-19 16:40:00+00:00,2012-11-19 19:24:00+00:00
280830806,MHK,DFW,2012-11-19 17:10:00+00:00,2012-11-19 18:40:00+00:00,2012-11-19 17:10:00+00:00,2012-11-19 18:40:00+00:00,2012-11-19 17:19:00+00:00,2012-11-19 18:50:00+00:00
280803361,DSM,ORD,2012-11-19 16:40:00+00:00,2012-11-19 18:00:00+00:00,2012-11-19 16:40:00+00:00,2012-11-19 18:00:00+00:00,2012-11-19 16:52:00+00:00,2012-11-19 18:08:00+00:00
280801587,DFW,MKE,2012-11-19 16:10:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 16:10:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 16:25:00+00:00,2012-11-19 18:36:00+00:00
280809263,GGG,DFW,2012-11-19 17:10:00+00:00,2012-11-19 18:00:00+00:00,2012-11-19 17:10:00+00:00,2012-11-19 18:00:00+00:00,2012-11-19 17:18:00+00:00,2012-11-19 18:10:00+00:00
280808484,FSD,ORD,2012-11-19 17:20:00+00:00,2012-11-19 18:55:00+00:00,2012-11-19 17:20:00+00:00,2012-11-19 18:55:00+00:00,2012-11-19 17:34:00+00:00,2012-11-19 19:03:00+00:00
280810058,GPT,DFW,2012-11-19 16:50:00+00:00,2012-11-19 18:35:00+00:00,2012-11-19 16:50:00+00:00,2012-11-19 18:35:00+00:00,2012-11-19 17:00:00+00:00,2012-11-19 18:45:00+00:00
280803766,DTW,ORD,2012-11-19 17:30:00+00:00,2012-11-19 18:55:00+00:00,2012-11-19 17:30:00+00:00,2012-11-19 18:55:00+00:00,2012-11-19 17:47:00+00:00,2012-11-19 19:03:00+00:00
280837600,ORD,DTW,2012-11-19 17:20:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 17:20:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 17:35:00+00:00,2012-11-19 18:39:00+00:00
280826695,LRD,DFW,2012-11-19 17:10:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 17:10:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 17:19:00+00:00,2012-11-19 18:40:00+00:00
280801708,DFW,PIA,2012-11-19 15:55:00+00:00,2012-11-19 17:45:00+00:00,2012-11-19 15:55:00+00:00,2012-11-19 17:45:00+00:00,2012-11-19 16:11:00+00:00,2012-11-19 17:48:00+00:00
280827983,MAF,DFW,2012-11-19 17:40:00+00:00,2012-11-19 18:50:00+00:00,2012-11-19 17:40:00+00:00,2012-11-19 18:50:00+00:00,2012-11-19 17:49:00+00:00,2012-11-19 19:00:00+00:00
280845509,ROC,ORD,2012-11-19 16:45:00+00:00,2012-11-19 18:45:00+00:00,2012-11-19 16:45:00+00:00,2012-11-19 18:45:00+00:00,2012-11-19 16:58:00+00:00,2012-11-19 18:53:00+00:00
280799491,DCA,BNA,2012-11-19 16:55:00+00:00,2012-11-19 18:50:00+00:00,2012-11-19 16:55:00+00:00,2012-11-19 18:50:00+00:00,2012-11-19 17:10:00+00:00,2012-11-19 18:55:00+00:00
280824359,LGA,RDU,2012-11-19 17:05:00+00:00,2012-11-19 18:45:00+00:00,2012-11-19 17:05:00+00:00,2012-11-19 18:45:00+00:00,2012-11-19 17:32:00+00:00,2012-11-19 18:49:00+00:00
280830744,MGM,DFW,2012-11-19 17:15:00+00:00,2012-11-19 19:25:00+00:00,2012-11-19 17:15:00+00:00,2012-11-19 19:25:00+00:00,2012-11-19 17:24:00+00:00,2012-11-19 19:35:00+00:00
280824087,LGA,CMH,2012-11-19 16:15:00+00:00,2012-11-19 18:10:00+00:00,2012-11-19 16:15:00+00:00,2012-11-19 18:10:00+00:00,2012-11-19 16:42:00+00:00,2012-11-19 18:16:00+00:00
280780157,ACT,DFW,2012-11-19 17:30:00+00:00,2012-11-19 18:15:00+00:00,2012-11-19 17:30:00+00:00,2012-11-19 18:15:00+00:00,2012-11-19 17:41:00+00:00,2012-11-19 18:25:00+00:00
280859372,VPS,DFW,2012-11-19 15:40:00+00:00,2012-11-19 17:55:00+00:00,2012-11-19 15:40:00+00:00,2012-11-19 17:55:00+00:00,2012-11-19 15:52:00+00:00,2012-11-19 18:05:00+00:00
280837360,ORD,BNA,2012-11-19 16:25:00+00:00,2012-11-19 17:50:00+00:00,2012-11-19 16:25:00+00:00,2012-11-19 17:50:00+00:00,2012-11-19 16:41:00+00:00,2012-11-19 17:55:00+00:00
280824050,LGA,CLE,2012-11-19 16:35:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 16:35:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 17:03:00+00:00,2012-11-19 18:36:00+00:00
280814190,HOU,SAN,2012-11-19 14:50:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 14:50:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 15:00:00+00:00,2012-11-19 18:14:00+00:00
280780711,AEX,DFW,2012-11-19 17:15:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 17:15:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 17:25:00+00:00,2012-11-19 18:40:00+00:00
280833004,MSP,SAN,2012-11-19 15:20:00+00:00,2012-11-19 19:14:00+00:00,2012-11-19 15:20:00+00:00,2012-11-19 19:14:00+00:00,2012-11-19 15:39:00+00:00,2012-11-19 18:53:00+00:00
280831480,MKE,MCO,2012-11-19 15:20:00+00:00,2012-11-19 18:00:00+00:00,2012-11-19 15:20:00+00:00,2012-11-19 18:00:00+00:00,2012-11-19 15:27:00+00:00,2012-11-19 17:42:00+00:00
280829967,MEM,LGA,2012-11-19 15:30:00+00:00,2012-11-19 18:11:00+00:00,2012-11-19 15:30:00+00:00,2012-11-19 18:11:00+00:00,2012-11-19 15:38:00+00:00,2012-11-19 17:42:00+00:00
280849804,SJC,ORD,2012-11-19 15:30:00+00:00,2012-11-19 19:40:00+00:00,2012-11-19 15:30:00+00:00,2012-11-19 19:40:00+00:00,2012-11-19 15:42:00+00:00,2012-11-19 19:49:00+00:00
280801671,DFW,PBI,2012-11-19 15:30:00+00:00,2012-11-19 18:05:00+00:00,2012-11-19 15:30:00+00:00,2012-11-19 18:05:00+00:00,2012-11-19 15:45:00+00:00,2012-11-19 18:10:00+00:00
280817714,JAX,ORD,2012-11-19 17:25:00+00:00,2012-11-19 20:05:00+00:00,2012-11-19 17:25:00+00:00,2012-11-19 20:05:00+00:00,2012-11-19 17:38:00+00:00,2012-11-19 20:14:00+00:00
280850926,SNA,ORD,2012-11-19 15:35:00+00:00,2012-11-19 19:38:00+00:00,2012-11-19 15:35:00+00:00,2012-11-19 19:38:00+00:00,2012-11-19 15:40:00+00:00,2012-11-19 19:02:00+00:00
280791049,BWI,PBI,2012-11-19 15:50:00+00:00,2012-11-19 18:25:00+00:00,2012-11-19 15:50:00+00:00,2012-11-19 18:25:00+00:00,2012-11-19 16:00:00+00:00,2012-11-19 18:10:00+00:00
280783619,ATL,IAH,2012-11-19 15:53:00+00:00,2012-11-19 18:17:00+00:00,2012-11-19 15:53:00+00:00,2012-11-19 18:17:00+00:00,2012-11-19 16:05:00+00:00,2012-11-19 17:42:00+00:00
280784256,ATL,TUS,2012-11-19 15:52:00+00:00,2012-11-19 20:05:00+00:00,2012-11-19 15:52:00+00:00,2012-11-19 20:05:00+00:00,2012-11-19 16:21:00+00:00,2012-11-19 19:56:00+00:00
280796246,CLT,XNA,2012-11-19 15:55:00+00:00,2012-11-19 18:15:00+00:00,2012-11-19 15:55:00+00:00,2012-11-19 18:15:00+00:00,2012-11-19 16:01:00+00:00,2012-11-19 17:50:00+00:00
280856982,TUS,DFW,2012-11-19 15:55:00+00:00,2012-11-19 18:10:00+00:00,2012-11-19 15:55:00+00:00,2012-11-19 18:10:00+00:00,2012-11-19 16:07:00+00:00,2012-11-19 18:22:00+00:00
280842220,PIT,ORD,2012-11-19 17:15:00+00:00,2012-11-19 18:55:00+00:00,2012-11-19 17:15:00+00:00,2012-11-19 18:55:00+00:00,2012-11-19 17:26:00+00:00,2012-11-19 19:03:00+00:00
280829344,MDW,EWR,2012-11-19 16:10:00+00:00,2012-11-19 18:10:00+00:00,2012-11-19 16:10:00+00:00,2012-11-19 18:10:00+00:00,2012-11-19 16:20:00+00:00,2012-11-19 17:51:00+00:00
280855886,TPA,IND,2012-11-19 16:08:00+00:00,2012-11-19 18:23:00+00:00,2012-11-19 16:08:00+00:00,2012-11-19 18:23:00+00:00,2012-11-19 16:15:00+00:00,2012-11-19 18:12:00+00:00
280850927,SNA,ORD,2012-11-19 16:15:00+00:00,2012-11-19 20:05:00+00:00,2012-11-19 16:15:00+00:00,2012-11-19 20:05:00+00:00,2012-11-19 16:27:00+00:00,2012-11-19 20:14:00+00:00
280796418,CMH,MSP,2012-11-19 16:15:00+00:00,2012-11-19 18:21:00+00:00,2012-11-19 16:15:00+00:00,2012-11-19 18:21:00+00:00,2012-11-19 16:17:00+00:00,2012-11-19 17:51:00+00:00
280839648,PDX,DFW,2012-11-19 16:20:00+00:00,2012-11-19 20:05:00+00:00,2012-11-19 16:20:00+00:00,2012-11-19 20:05:00+00:00,2012-11-19 16:36:00+00:00,2012-11-19 20:15:00+00:00
280800996,DEN,STL,2012-11-19 16:20:00+00:00,2012-11-19 18:15:00+00:00,2012-11-19 16:20:00+00:00,2012-11-19 18:15:00+00:00,2012-11-19 16:30:00+00:00,2012-11-19 18:09:00+00:00
280855895,TPA,JFK,2012-11-19 16:10:00+00:00,2012-11-19 18:45:00+00:00,2012-11-19 16:10:00+00:00,2012-11-19 18:45:00+00:00,2012-11-19 16:23:00+00:00,2012-11-19 18:54:00+00:00
280783490,ATL,FLL,2012-11-19 16:20:00+00:00,2012-11-19 18:08:00+00:00,2012-11-19 16:20:00+00:00,2012-11-19 18:08:00+00:00,2012-11-19 16:32:00+00:00,2012-11-19 17:59:00+00:00
280849756,SJC,DFW,2012-11-19 16:30:00+00:00,2012-11-19 20:00:00+00:00,2012-11-19 16:30:00+00:00,2012-11-19 20:00:00+00:00,2012-11-19 16:44:00+00:00,2012-11-19 20:10:00+00:00
280814157,HOU,MCO,2012-11-19 16:25:00+00:00,2012-11-19 18:35:00+00:00,2012-11-19 16:25:00+00:00,2012-11-19 18:35:00+00:00,2012-11-19 16:35:00+00:00,2012-11-19 18:30:00+00:00
280841436,PHL,RIC,2012-11-19 16:30:00+00:00,2012-11-19 17:43:00+00:00,2012-11-19 16:30:00+00:00,2012-11-19 17:43:00+00:00,2012-11-19 16:34:00+00:00,2012-11-19 17:34:00+00:00
280799498,DCA,BOS,2012-11-19 16:30:00+00:00,2012-11-19 17:56:00+00:00,2012-11-19 16:30:00+00:00,2012-11-19 17:56:00+00:00,2012-11-19 16:34:00+00:00,2012-11-19 17:34:00+00:00
280784200,ATL,STL,2012-11-19 16:27:00+00:00,2012-11-19 18:19:00+00:00,2012-11-19 16:27:00+00:00,2012-11-19 18:19:00+00:00,2012-11-19 16:29:00+00:00,2012-11-19 17:46:00+00:00
280841229,PHL,IAH,2012-11-19 16:30:00+00:00,2012-11-19 20:21:00+00:00,2012-11-19 16:30:00+00:00,2012-11-19 20:21:00+00:00,2012-11-19 16:38:00+00:00,2012-11-19 19:32:00+00:00
280848480,SGF,ATL,2012-11-19 16:30:00+00:00,2012-11-19 18:13:00+00:00,2012-11-19 16:30:00+00:00,2012-11-19 18:13:00+00:00,2012-11-19 16:32:00+00:00,2012-11-19 18:00:00+00:00
280826112,LIT,ATL,2012-11-19 16:30:00+00:00,2012-11-19 18:01:00+00:00,2012-11-19 16:30:00+00:00,2012-11-19 18:01:00+00:00,2012-11-19 16:33:00+00:00,2012-11-19 17:41:00+00:00
280801011,DEN,TUL,2012-11-19 16:30:00+00:00,2012-11-19 18:00:00+00:00,2012-11-19 16:30:00+00:00,2012-11-19 18:00:00+00:00,2012-11-19 16:40:00+00:00,2012-11-19 17:51:00+00:00
280829934,MEM,DFW,2012-11-19 16:35:00+00:00,2012-11-19 18:15:00+00:00,2012-11-19 16:35:00+00:00,2012-11-19 18:15:00+00:00,2012-11-19 16:48:00+00:00,2012-11-19 18:27:00+00:00
280829944,MEM,EWR,2012-11-19 16:33:00+00:00,2012-11-19 19:13:00+00:00,2012-11-19 16:33:00+00:00,2012-11-19 19:13:00+00:00,2012-11-19 16:43:00+00:00,2012-11-19 18:56:00+00:00
280829460,MDW,RDU,2012-11-19 16:35:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 16:35:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 16:45:00+00:00,2012-11-19 18:16:00+00:00
280841773,PHX,LAX,2012-11-19 16:35:00+00:00,2012-11-19 18:05:00+00:00,2012-11-19 16:35:00+00:00,2012-11-19 18:05:00+00:00,2012-11-19 16:46:00+00:00,2012-11-19 17:44:00+00:00
280803792,DTW,PHL,2012-11-19 16:35:00+00:00,2012-11-19 18:09:00+00:00,2012-11-19 16:35:00+00:00,2012-11-19 18:09:00+00:00,2012-11-19 16:39:00+00:00,2012-11-19 17:51:00+00:00
280822423,LAS,OMA,2012-11-19 16:35:00+00:00,2012-11-19 19:15:00+00:00,2012-11-19 16:35:00+00:00,2012-11-19 19:15:00+00:00,2012-11-19 16:45:00+00:00,2012-11-19 18:57:00+00:00
280828772,MCO,LGA,2012-11-19 16:31:00+00:00,2012-11-19 19:02:00+00:00,2012-11-19 16:31:00+00:00,2012-11-19 19:02:00+00:00,2012-11-19 16:48:00+00:00,2012-11-19 18:49:00+00:00
280848386,SFO,SEA,2012-11-19 16:35:00+00:00,2012-11-19 18:40:00+00:00,2012-11-19 16:35:00+00:00,2012-11-19 18:40:00+00:00,2012-11-19 16:42:00+00:00,2012-11-19 18:18:00+00:00
280847929,SFO,ACV,2012-11-19 16:33:00+00:00,2012-11-19 18:04:00+00:00,2012-11-19 16:33:00+00:00,2012-11-19 18:04:00+00:00,2012-11-19 16:38:00+00:00,2012-11-19 17:42:00+00:00
280850572,SLC,RNO,2012-11-19 16:40:00+00:00,2012-11-19 18:13:00+00:00,2012-11-19 16:40:00+00:00,2012-11-19 18:13:00+00:00,2012-11-19 16:45:00+00:00,2012-11-19 17:44:00+00:00
280850360,SLC,BIL,2012-11-19 16:44:00+00:00,2012-11-19 18:09:00+00:00,2012-11-19 16:44:00+00:00,2012-11-19 18:09:00+00:00,2012-11-19 16:49:00+00:00,2012-11-19 17:45:00+00:00
280806216,EWR,RDU,2012-11-19 16:37:00+00:00,2012-11-19 18:17:00+00:00,2012-11-19 16:37:00+00:00,2012-11-19 18:17:00+00:00,2012-11-19 16:52:00+00:00,2012-11-19 18:00:00+00:00
280787707,BNA,CMH,2012-11-19 16:40:00+00:00,2012-11-19 17:50:00+00:00,2012-11-19 16:40:00+00:00,2012-11-19 17:50:00+00:00,2012-11-19 16:50:00+00:00,2012-11-19 17:48:00+00:00
280799262,DAL,MCI,2012-11-19 16:40:00+00:00,2012-11-19 18:10:00+00:00,2012-11-19 16:40:00+00:00,2012-11-19 18:10:00+00:00,2012-11-19 16:51:00+00:00,2012-11-19 17:59:00+00:00
280831404,MKE,ATL,2012-11-19 16:38:00+00:00,2012-11-19 18:35:00+00:00,2012-11-19 16:38:00+00:00,2012-11-19 18:35:00+00:00,2012-11-19 16:45:00+00:00,2012-11-19 18:18:00+00:00
280803256,DRO,DEN,2012-11-19 16:40:00+00:00,2012-11-19 17:42:00+00:00,2012-11-19 16:40:00+00:00,2012-11-19 17:42:00+00:00,2012-11-19 16:51:00+00:00,2012-11-19 17:29:00+00:00
280841651,PHX,DFW,2012-11-19 16:45:00+00:00,2012-11-19 19:10:00+00:00,2012-11-19 16:45:00+00:00,2012-11-19 19:10:00+00:00,2012-11-19 17:02:00+00:00,2012-11-19 19:22:00+00:00
280829456,MDW,PVD,2012-11-19 16:45:00+00:00,2012-11-19 18:50:00+00:00,2012-11-19 16:45:00+00:00,2012-11-19 18:50:00+00:00,2012-11-19 16:55:00+00:00,2012-11-19 18:44:00+00:00
280839732,PDX,PHX,2012-11-19 16:45:00+00:00,2012-11-19 19:15:00+00:00,2012-11-19 16:45:00+00:00,2012-11-19 19:15:00+00:00,2012-11-19 16:48:00+00:00,2012-11-19 19:02:00+00:00
280793177,CEC,SFO,2012-11-19 16:45:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 16:45:00+00:00,2012-11-19 18:30:00+00:00,2012-11-19 16:55:00+00:00,2012-11-19 18:04:00+00:00
280810055,GPT,CLT,2012-11-19 16:50:00+00:00,2012-11-19 18:34:00+00:00,2012-11-19 16:50:00+00:00,2012-11-19 18:34:00+00:00,2012-11-19 16:55:00+00:00,2012-11-19 18:27:00+00:00
280823151,LAX,SBA,2012-11-19 16:49:00+00:00,2012-11-19 17:33:00+00:00,2012-11-19 16:49:00+00:00,2012-11-19 17:33:00+00:00,2012-11-19 16:59:00+00:00,2012-11-19 17:21:00+00:00
280781480,AMA,IAH,2012-11-19 16:53:00+00:00,2012-11-19 18:31:00+00:00,2012-11-19 16:53:00+00:00,2012-11-19 18:31:00+00:00,2012-11-19 16:59:00+00:00,2012-11-19 18:11:00+00:00
280800499,DEN,FAR,2012-11-19 16:50:00+00:00,2012-11-19 18:42:00+00:00,2012-11-19 16:50:00+00:00,2012-11-19 18:42:00+00:00,2012-11-19 16:56:00+00:00,2012-11-19 18:20:00+00:00
280816425,IND,DTW,2012-11-19 16:50:00+00:00,2012-11-19 18:08:00+00:00,2012-11-19 16:50:00+00:00,2012-11-19 18:08:00+00:00,2012-11-19 17:01:00+00:00,2012-11-19 17:40:00+00:00
280799724,DCA,MSP,2012-11-19 16:50:00+00:00,2012-11-19 19:34:00+00:00,2012-11-19 16:50:00+00:00,2012-11-19 19:34:00+00:00,2012-11-19 16:56:00+00:00,2012-11-19 19:01:00+00:00
280838164,ORD,SJC,2012-11-19 16:55:00+00:00,2012-11-19 21:35:00+00:00,2012-11-19 16:55:00+00:00,2012-11-19 21:35:00+00:00,2012-11-19 17:10:00+00:00,2012-11-19 21:39:00+00:00
280829370,MDW,LAS,2012-11-19 16:55:00+00:00,2012-11-19 20:55:00+00:00,2012-11-19 16:55:00+00:00,2012-11-19 20:55:00+00:00,2012-11-19 17:06:00+00:00,2012-11-19 20:38:00+00:00
280828679,MCO,DFW,2012-11-19 17:00:00+00:00,2012-11-19 19:55:00+00:00,2012-11-19 17:00:00+00:00,2012-11-19 19:55:00+00:00,2012-11-19 17:17:00+00:00,2012-11-19 20:06:00+00:00
280841378,PHL,ORF,2012-11-19 16:55:00+00:00,2012-11-19 18:04:00+00:00,2012-11-19 16:55:00+00:00,2012-11-19 18:04:00+00:00,2012-11-19 17:00:00+00:00,2012-11-19 17:50:00+00:00
280850795,SMF,PHX,2012-11-19 16:55:00+00:00,2012-11-19 18:45:00+00:00,2012-11-19 16:55:00+00:00,2012-11-19 18:45:00+00:00,2012-11-19 17:05:00+00:00,2012-11-19 18:41:00+00:00
280801015,DEN,TUL,2012-11-19 16:54:00+00:00,2012-11-19 18:26:00+00:00,2012-11-19 16:54:00+00:00,2012-11-19 18:26:00+00:00,2012-11-19 16:57:00+00:00,2012-11-19 18:14:00+00:00
280799299,DAL,STL,2012-11-19 16:55:00+00:00,2012-11-19 18:35:00+00:00,2012-11-19 16:55:00+00:00,2012-11-19 18:35:00+00:00,2012-11-19 17:05:00+00:00,2012-11-19 18:27:00+00:00
280855846,TPA,DTW,2012-11-19 16:55:00+00:00,2012-11-19 19:38:00+00:00,2012-11-19 16:55:00+00:00,2012-11-19 19:38:00+00:00,2012-11-19 17:05:00+00:00,2012-11-19 19:09:00+00:00
280803570,DTW,ESC,2012-11-19 17:00:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 17:00:00+00:00,2012-11-19 18:20:00+00:00,2012-11-19 17:10:00+00:00,2012-11-19 18:00:00+00:00
280850511,SLC,MSP,2012-11-19 17:00:00+00:00,2012-11-19 19:36:00+00:00,2012-11-19 17:00:00+00:00,2012-11-19 19:36:00+00:00,2012-11-19 17:04:00+00:00,2012-11-19 19:04:00+00:00
